CÓDIGO ÓRGÃO SUPERIOR;NOME ÓRGÃO SUPERIOR;CÓDIGO ÓRGÃO;NOME ÓRGÃO;CÓDIGO UNIDADE GESTORA;NOME UNIDADE GESTORA;CATEGORIA ECONÔMICA;ORIGEM RECEITA;ESPÉCIE RECEITA;DETALHAMENTO;VALOR PREVISTO ATUALIZADO;VALOR LANÇADO;VALOR REALIZADO;PERCENTUAL REALIZADO;DATA LANÇAMENTO;ANO EXERCÍCIO
63000;Advocacia-Geral da União;63000;Advocacia-Geral da União - Unidades com vínculo direto;110060;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Multas administrativas, contratuais e judicia;MULTAS E JUROS PREVISTOS EM CONTRATOS;0;0;15920,83;0;31/12/2014;2014
63000;Advocacia-Geral da União;63000;Advocacia-Geral da União - Unidades com vínculo direto;110060;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Receita de Serviços;Receita de Serviços;TAR.INSCR.CONCURSOS E PROCESSOS SELETIVOS;0;0;367815,01;0;31/12/2014;2014
63000;Advocacia-Geral da União;63000;Advocacia-Geral da União - Unidades com vínculo direto;110060;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Indenizações, restituições e ressarcimentos;RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES;0;0;11454509,77;0;31/12/2014;2014
63000;Advocacia-Geral da União;63000;Advocacia-Geral da União - Unidades com vínculo direto;110060;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas de Capital;Operações de Crédito;Operações de crédito - mercado externo;OPERACOES DE CREDITOS EXTERNAS - CONTRATUAIS;2300000;0;0;0;31/12/2014;2014
63000;Advocacia-Geral da União;63000;Advocacia-Geral da União - Unidades com vínculo direto;110060;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Multas administrativas, contratuais e judicia;OUTRAS MULTAS E JUROS DE MORA;0;0;2195899,92;0;31/12/2014;2014
63000;Advocacia-Geral da União;63000;Advocacia-Geral da União - Unidades com vínculo direto;110060;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Indenizações, restituições e ressarcimentos;OUTRAS INDENIZACOES;0;0;1784084;0;31/12/2014;2014
63000;Advocacia-Geral da União;63000;Advocacia-Geral da União - Unidades com vínculo direto;110060;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Bens, Direitos e Valores Incorporados ao Patr;REC.DIVIDA ATIVA NAO TRIBUTARIA DE OUTRAS REC;0;0;-3316,55;0;31/12/2014;2014
63000;Advocacia-Geral da União;63000;Advocacia-Geral da União - Unidades com vínculo direto;110060;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Bens, Direitos e Valores Incorporados ao Patr;REC.DIV.ATIVA POR INFRAÇÃO ADMINISTRATIVA;0;0;31431,12;0;31/12/2014;2014
63000;Advocacia-Geral da União;63000;Advocacia-Geral da União - Unidades com vínculo direto;110060;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Indenizações, restituições e ressarcimentos;OUTRAS RESTITUICOES;0;0;58544,25;0;31/12/2014;2014
63000;Advocacia-Geral da União;63000;Advocacia-Geral da União - Unidades com vínculo direto;110060;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes - intra-orçamentárias;Outras Receitas Correntes;Indenizações e restituições;RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES;0;0;232,02;0;31/12/2014;2014
